[Gene65_Down] -> [Gene38_Down] ( confidence : 0.819672131147541 | support : 0.5 ),
[Gene88_Down] -> [Gene15_Down] ( confidence : 0.5633802816901409 | support : 0.4 ),
[Gene15_Down] -> [Gene88_Down] ( confidence : 0.7142857142857143 | support : 0.4 ),
[Gene54_UP] -> [Gene1_UP] ( confidence : 0.746268656716418 | support : 0.5 ),
[Gene1_UP] -> [Gene54_UP] ( confidence : 0.7246376811594203 | support : 0.5 ),
[Gene13_Down] -> [Gene47_UP] ( confidence : 0.6323529411764706 | support : 0.43 ),
[Gene47_UP] -> [Gene13_Down] ( confidence : 0.6515151515151515 | support : 0.43 ),
[Gene96_Down] -> [Gene69_Down] ( confidence : 0.5774647887323944 | support : 0.41 ),
[Gene69_Down] -> [Gene96_Down] ( confidence : 0.6612903225806451 | support : 0.41 ),
[Gene95_Down] -> [Gene54_UP] ( confidence : 0.6833333333333333 | support : 0.41 ),
[Gene54_UP] -> [Gene95_Down] ( confidence : 0.6119402985074627 | support : 0.41 ),
[Gene82_Down] -> [Gene38_Down] ( confidence : 0.7058823529411765 | support : 0.48 ),
[Gene38_Down] -> [Gene82_Down] ( confidence : 0.6575342465753424 | support : 0.48 ),
[Gene96_Down] -> [Gene24_Down] ( confidence : 0.647887323943662 | support : 0.46 ),
[Gene24_Down] -> [Gene96_Down] ( confidence : 0.7301587301587301 | support : 0.46 ),
[Gene88_Down] -> [Gene32_Down] ( confidence : 0.6056338028169014 | support : 0.43 ),
[Gene32_Down] -> [Gene88_Down] ( confidence : 0.6323529411764706 | support : 0.43 ),
[Gene52_Down] -> [Gene68_Down] ( confidence : 0.6153846153846154 | support : 0.4 ),
[Gene68_Down] -> [Gene52_Down] ( confidence : 0.6557377049180327 | support : 0.4 ),
[Gene21_UP] -> [Gene59_UP] ( confidence : 0.7419354838709677 | support : 0.46 ),
[Gene59_UP] -> [Gene21_UP] ( confidence : 0.6052631578947368 | support : 0.46 ),
[Gene26_UP] -> [Gene38_Down] ( confidence : 0.7884615384615384 | support : 0.41 ),
[Gene38_Down] -> [Gene26_UP] ( confidence : 0.5616438356164384 | support : 0.41 ),
[Gene82_Down] -> [Gene68_Down] ( confidence : 0.6323529411764706 | support : 0.43 ),
[Gene68_Down] -> [Gene82_Down] ( confidence : 0.7049180327868853 | support : 0.43 ),
[Gene25_UP] -> [Gene96_Down] ( confidence : 0.7017543859649122 | support : 0.4 ),
[Gene96_Down] -> [Gene25_UP] ( confidence : 0.5633802816901409 | support : 0.4 ),
[Gene59_UP] -> [Gene67_UP] ( confidence : 0.6052631578947368 | support : 0.46 ),
[Gene67_UP] -> [Gene59_UP] ( confidence : 0.7419354838709677 | support : 0.46 ),
[Gene80_Down] -> [Gene60_UP] ( confidence : 0.625 | support : 0.4 ),
[Gene60_UP] -> [Gene80_Down] ( confidence : 0.7407407407407407 | support : 0.4 ),
[Gene82_Down] -> [Gene8_UP] ( confidence : 0.6470588235294118 | support : 0.44 ),
[Gene8_UP] -> [Gene82_Down] ( confidence : 0.6666666666666666 | support : 0.44 ),
[Gene95_Down] -> [Gene10_Down] ( confidence : 0.7 | support : 0.42 ),
[Gene10_Down] -> [Gene95_Down] ( confidence : 0.6 | support : 0.42 ),
[Gene35_Down] -> [Gene72_UP] ( confidence : 0.7547169811320755 | support : 0.4 ),
[Gene72_UP] -> [Gene35_Down] ( confidence : 0.5405405405405406 | support : 0.4 ),
[Gene28_Down] -> [Gene99_UP] ( confidence : 0.5915492957746479 | support : 0.42 ),
[Gene99_UP] -> [Gene28_Down] ( confidence : 0.75 | support : 0.42 ),
[Gene11_Down] -> [Gene32_Down] ( confidence : 0.7368421052631579 | support : 0.42 ),
[Gene32_Down] -> [Gene11_Down] ( confidence : 0.6176470588235294 | support : 0.42 ),
[Gene58_Down] -> [Gene91_UP] ( confidence : 0.703125 | support : 0.45 ),
[Gene91_UP] -> [Gene58_Down] ( confidence : 0.6923076923076923 | support : 0.45 ),
[Gene87_UP] -> [Gene41_Down] ( confidence : 0.7014925373134329 | support : 0.47 ),
[Gene41_Down] -> [Gene87_UP] ( confidence : 0.734375 | support : 0.47 ),
[Gene81_UP] -> [Gene38_Down] ( confidence : 0.7586206896551724 | support : 0.44 ),
[Gene38_Down] -> [Gene81_UP] ( confidence : 0.6027397260273972 | support : 0.44 ),
[Gene80_Down] -> [Gene69_Down] ( confidence : 0.640625 | support : 0.41 ),
[Gene69_Down] -> [Gene80_Down] ( confidence : 0.6612903225806451 | support : 0.41 ),
[Gene80_Down] -> [Gene71_UP] ( confidence : 0.65625 | support : 0.42 ),
[Gene71_UP] -> [Gene80_Down] ( confidence : 0.7241379310344828 | support : 0.42 ),
